id,speaker,content
1,俞墨涵,（站在课桌上大喊）还差三个男生演大树！有没有人自愿——（看到门口身影突然噎住）张思朗？！
2,张思朗,（抱着一堆纸箱踉跄进门）班长让我来…（纸箱突然散落）啊…
3,俞墨涵,（跳下桌子帮忙捡）太好了！（抓起他的手）你来演王子吧！
4,张思朗,（猛地抽回手后退）不…不可能！（撞到黑板）我、我做幕后就行…
5,俞墨涵,（叉腰）为什么嘛！你明明很适合！（翻开剧本）台词只有五句！
6,张思朗,（耳尖通红）我…我会搞砸的。（蹲下继续整理纸箱）
7,俞墨涵,（跟着蹲下）那先试试第一句？（突然用夸张的舞台腔）"啊！我的公主！"
8,张思朗,（捂嘴憋笑）…好蠢。
9,俞墨涵,（眼睛一亮）你刚才笑了！（扯他袖子）再说一次嘛！
10,张思朗,（低头用美工刀裁纸板）…不要。
11,俞墨涵,（突然抢走美工刀）那我来做道具！（不小心划到手指）痛！
12,张思朗,（立刻抓过她的手）别动…（从口袋掏出创可贴）怎么这么不小心…
13,俞墨涵,（怔怔看着他熟练包扎）你随身带这个啊…
14,张思朗,（轻声）…经常做手工。（突然意识到还握着她的手，赶紧松开）
15,俞墨涵,（转动创可贴）是猫咪图案的！（抬头笑）没想到你喜欢这种～
16,张思朗,（慌乱收拾工具）超市…打折买的。
17,俞墨涵,（晃着受伤的手指）那作为报答～（突然把剧本拍在他面前）陪我练这段！
18,张思朗,（看着被塞到手里的剧本）可是…
19,俞墨涵,（已经跳到教室中央）来！我演被诅咒的公主，（指着他）你是路过的吟游诗人～
20,张思朗,（深吸一口气，用课本挡住脸）"森林的…露珠…呃…"
21,俞墨涵,（憋笑憋得发抖）噗…不是朗诵课文啦！
22,张思朗,（从课本后露出眼睛）…还是做道具吧。（递回剧本）
23,俞墨涵,（突然灵光一闪）等等！（翻背包）有这个！——（掏出兔耳发箍）
24,张思朗,（惊恐后退）不要…
25,俞墨涵,（追着他跑）吟游诗人戴这个超合适的！（成功把他逼到墙角）
26,张思朗,（后背贴墙）俞墨涵…（声音发抖）真的不行…
27,俞墨涵,（踮脚凑近）就试一下下～（突然脚滑往前扑）
28,张思朗,（下意识接住她）小心…（两人同时僵住）
29,俞墨涵,（鼻尖差点撞到他下巴）哇啊…（慌忙后退时兔耳掉在地上）
30,张思朗,（弯腰捡起发箍）…我帮你做道具。（快步走回座位）
31,俞墨涵,（揉着发烫的耳朵）哦…（小声）那王子角色…
32,张思朗,（头也不抬地裁纸板）…让体育委员演吧。
33,俞墨涵,（嘟着嘴坐他对面）好吧…（突然踢他鞋尖）但你得负责所有背景板！
34,张思朗,（轻轻"嗯"了一声）…颜料在哪？
35,俞墨涵,（翻出颜料盒）给～（托腮看他调色）你画画很好诶！
36,张思朗,（专注勾勒城堡轮廓）小时候学过一点…
37,俞墨涵,（突然蘸了蓝色颜料点在他鼻尖）哈哈！小花猫～
38,张思朗,（愣住，无奈地擦脸）…别闹。（却悄悄在她手背画了朵小花）
39,俞墨涵,（发现手背图案）哇！（凑近看）怎么画的？教我！
40,张思朗,（犹豫地递过画笔）这样握笔…（虚环着她手示范）
41,俞墨涵,（歪歪扭扭画出星星）你看！我学会…（转头时脸颊蹭到他校服领口）
42,张思朗,（迅速退开）…该回家了。（收拾书包）
43,俞墨涵,（看着窗外渐黑的天色）啊！都这么晚了…（突然抓住他手腕）明天继续？
44,张思朗,（看着腕上的蓝色颜料指印）…嗯。（轻轻点头）
45,俞墨涵,（蹦跳着去拿书包）对了！（回头笑）文化祭你要来看我演出哦！
46,张思朗,（正在擦掉鼻尖颜料）…你不是缺演员吗？
47,俞墨涵,（系鞋带）改成独角戏啦～（抬头眨眼）你来我就演得特别好！
48,张思朗,（书包带突然断裂）…！
49,俞墨涵,（立刻翻出针线包）别动！（自然地拉他坐下）我帮你缝～
50,张思朗,（看着她熟练穿针）你随身带这个？
51,俞墨涵,（咬断线头）手工课剩下的～（拍拍缝好的书包）怎么样？
52,张思朗,（轻抚缝合处）…谢谢。（突然开口）文化祭，我会去的。
53,俞墨涵,（眼睛亮起来）真的？！（跳起来时碰倒椅子）啊！
54,张思朗,（扶起椅子）…小心点。（嘴角微微上扬）
55,俞墨涵,（揉着撞疼的膝盖傻笑）嘿嘿…那说定了！（伸出小拇指）
56,张思朗,（看着她的手指，迟疑片刻）…幼稚。（却还是勾住）
57,俞墨涵,（晃着相连的手）拉钩上吊一百年不许变～（突然想到）啊！得去锁音乐教室！
58,张思朗,（拿起外套）我陪你…天黑。
59,俞墨涵,（在走廊倒退着走）张思朗～（拖长音调）你其实很温柔嘛！
60,张思朗,（低头走路）…啰嗦。
