id,speaker,content
1,俞墨涵,（课间突然站起）什么？！下周三？（抓住班长肩膀）你确定是张思朗生日？
2,班长,（翻班级档案）身份证号写的...咦？（抬头）他去年请假没来上学？
3,俞墨涵,（咬铅笔头）难怪没听他说过...（突然拍桌）决定了！要办惊喜派对！
4,放学路上,（假装闲聊）张思朗～你小时候生日都怎么过呀？
5,张思朗,（脚步一顿）...普通日子而已。（踢开石子）父母通常不在家。
6,俞墨涵,（蹦到他面前倒退走）那今年...（差点撞到电线杆）
7,张思朗,（一把拉住她）看路。（轻声）...有你在的日常就很好。
8,俞墨涵,（突然脸红）笨、笨蛋！（跑开）明天见！
9,秘密筹备,（和同学躲在空教室）彩带挂这里！（小声）蛋糕订草莓的！
10,文艺委员,（举手机）他LINE头像不是宇航员吗？（展示太空主题装饰）
11,体育委员,（搬箱子）这些望远镜模型放哪...哇！（踩到气球爆炸）
12,俞墨涵,（惊慌）嘘——！（听到脚步声）快躲起来！
13,生日当天,（骗张思朗来教室）老师说要...补交作业？
14,张思朗,（推门愣住）这是...（被彩带喷满头）
15,全班同学,（跳出来）生日快乐——！
16,俞墨涵,（端着插满蜡烛的蛋糕）快许愿！（烛光映着眼睛亮晶晶）
17,张思朗,（看着蛋糕上歪歪扭扭的火箭糖人）...你做的？
18,同学们,（起哄）墨涵练习了三次呢！
19,张思朗,（低头吹蜡烛时轻声）...谢谢。
20,礼物时间,（推出一米高礼物盒）锵锵～快拆！
21,张思朗,（拆开发现天文望远镜）这太贵重...（看到标签）【用所有压岁钱+三个月奶茶钱】
22,俞墨涵,（扭捏）其实...（掀开底部暗格）还有这个！
23,张思朗,（取出手工绘本）《小王子与玫瑰花》...？（翻开第一页愣住）
24,俞墨涵,（凑近指画面）这是你转学第一天！（翻页）我们在图书馆...（突然被抱住）
25,张思朗,（下巴抵在她发顶）...最好的生日。
26,同学们,（假装咳嗽）我们是不是该撤了...
27,黄昏教室,（只剩两人坐在窗边）那个...糖人其实...
28,张思朗,（舔掉她鼻尖的奶油）很甜。
29,俞墨涵,（呆住）等...你刚刚...（被他握住手）
30,张思朗,（展示钱包里的电影票根）文化祭那天...其实我去看了两场。
31,俞墨涵,（发现是邻座票）诶？！那为什么...
32,张思朗,（耳尖通红）...怕影响你发挥。（拿起绘本最后一页）这里空着？
33,俞墨涵,（掏笔给他）因为...（被夕阳染红脸颊）结局要一起写。
