id,speaker,content
1,俞墨涵,（抱着一摞书撞开图书馆门）完蛋完蛋，下周一要交的读后感——（突然愣住）张思朗？  
2,张思朗,（从书架后探出头，手指竖在唇前）嘘…（指了指墙上的“保持安静”标志）  
3,俞墨涵,（蹑手蹑脚靠近，小声）你怎么在这儿？（瞥见他手里的《天体物理学入门》）哇，这么难的书！  
4,张思朗,（合上书，耳根微红）随便看看…（转移话题）你呢？  
5,俞墨涵,（垮下脸）《战争与和平》读后感，写了三行就卡住了…（突然眼睛一亮）对了！你文笔怎么样？  
6,张思朗,（警惕地后退）不帮写作业。（却被她拽住袖子）  
7,俞墨涵,（双手合十）不是让你写啦！就是…（压低声音）给我讲讲大概剧情？  
8,张思朗,（叹气）你根本没看吧…（无奈地指向角落）去那边，我简单说。  
9,俞墨涵,（欢呼，又赶紧捂住嘴）太好了！（拖着他往自习区走）  
10,张思朗,（被她拉着，小声）慢点…（差点撞到书架）  
11,俞墨涵,（按他坐下，掏出笔记本）快讲快讲！（突然发现他书包上挂着宇航员钥匙扣）咦，你喜欢太空？  
12,张思朗,（迅速把钥匙扣塞回包里）…只是觉得好看。（翻开她的书）从这里开始…  
13,俞墨涵,（托腮看他）你讲得好清楚啊…（突然凑近）该不会偷偷读过很多遍吧？  
14,张思朗,（僵住，书页捏出褶皱）…小时候睡不着，爷爷会念这个。  
15,俞墨涵,（眨眼）哇，那你爷爷…（看到他黯淡的表情，突然改口）啊！这里我不懂，再讲详细点嘛！  
16,张思朗,（微微放松）这里其实…（突然被管理员打断）  
17,管理员,（敲桌子）同学，图书馆禁止喧哗。  
18,俞墨涵,（缩脖子道歉）对不起！（转向张思朗，用气音）我们传纸条吧！  
19,张思朗,（摇头，指指门外）出去说…  
20,俞墨涵,（抓起书包跟上）那去奶茶店！（看他犹豫）我请客，当补习费~  
21,张思朗,（站在图书馆台阶上）可是…  
22,俞墨涵,（已经跳下台阶，转身伸手）快点啦，优等生！（阳光照在她掌心）  
23,张思朗,（盯着她伸来的手，迟疑几秒，最终没去牵）…来了。（快步走下台阶）  
24,俞墨涵,（收回手，蹦跳着走在前）我要喝草莓奶盖！你呢？  
25,张思朗,（跟在她身后半步）…柠檬水就好。  
26,俞墨涵,（突然转身倒退走）不行不行，必须选个有料的！（数着手指）布丁、珍珠、椰果…  
27,张思朗,（怕她摔倒，虚扶着她背后）小心台阶…（无奈）那…红豆吧。  
28,俞墨涵,（胜利般握拳）好耶！（跑到奶茶店门口）阿姨，一杯草莓奶盖加…（回头）红豆是热的还是冷的？  
29,张思朗,（愣住）…都可以。  
30,俞墨涵,（对店员）那要热的！（掏钱包时硬币撒一地）啊呀…  
31,张思朗,（立刻蹲下帮她捡）我来…（两人的手同时碰到一枚硬币）  
32,俞墨涵,（指尖一颤，却没缩回）…谢谢。（小声）你的手好凉啊。  
33,张思朗,（迅速收手站起身）…天气原因。  
34,俞墨涵,（接过奶茶，把热红豆塞给他）暖暖手吧！（突然想起）啊，作业还没讲完…  
35,张思朗,（双手捧着热饮）去公园长椅？（补充）…那里安静。  
36,俞墨涵,（眼睛一亮）好主意！（边走边偷瞄他）其实你挺会照顾人的嘛…  
37,张思朗,（被奶茶呛到）…只是顺路。  
38,俞墨涵,（偷笑）是~吗~（突然指天空）看！飞机云！  
39,张思朗,（仰头，不自觉地微笑）嗯…（意识到她在看自己，又板起脸）该讲第三章了。  
40,俞墨涵,（咬着吸管笑）张老师好严格~（翻开笔记本）知道啦
