id,speaker,content
1,俞墨涵,（哼着歌擦黑板）新学期新气象~（突然粉笔灰呛到）咳咳...  
2,张思朗,（默默递上矿泉水）给...新同学。  
3,俞墨涵,（转身打量）啊！你是...（翻开学名单）张...思朗？  
4,张思朗,（低头摆桌椅）嗯。（偷偷瞥她一眼又迅速移开视线）  
5,俞墨涵,（蹦到他面前）我是俞墨涵！（伸手）以后请多指教啦！  
6,张思朗,（犹豫地轻握指尖）...指教。  
7,俞墨涵,（突然凑近）咦？你耳朵好红！（笑出声）该不会害羞吧？  
8,张思朗,（慌乱后退撞到课桌）没...是太热了！（使劲扇风）  
9,俞墨涵,（指着空调）可教室里只有22度诶~（狡黠地眨眼）  
10,张思朗,（转移话题）那个...垃圾我来倒吧。（抓起垃圾桶就往外冲）  
11,俞墨涵,（追到走廊）等等！你知道垃圾站在哪吗？（看他摇头）果然是新转学生~  
12,张思朗,（抱紧垃圾桶）...昨天刚办完手续。  
13,俞墨涵,（自然地接过一半垃圾袋）我带路！（突然想到）你原来学校是？  
14,张思朗,（迟疑）...县立三中。（偷看她表情）很普通的学校。  
15,俞墨涵,（毫不在意）哇！那家食堂的炸鸡超有名！（比划）这么大块的！  
16,张思朗,（微微睁大眼睛）你...知道？  
17,俞墨涵,（得意晃脑袋）我表哥去年毕业的！（突然指前方）看！就是那个蓝色垃圾桶~  
18,张思朗,（认真分类垃圾）塑料瓶要单独放...（发现她直接扔进去）等等！  
19,俞墨涵,（愣住）啊...抱歉！（吐舌头）我老是忘记。  
20,张思朗,（已经徒手捡出塑料瓶）没关系...（小声）下次我提醒你。  
21,俞墨涵,（盯着他侧脸）张思朗...（突然拍手）决定了！你当环保委员吧！  
22,张思朗,（呛到）什么？！（摆手）我不...  
23,俞墨涵,（已经跑向教室）我去跟班长说！（回头喊）你超合适的！  
24,张思朗,（追上去）等等...（绊到台阶差点摔倒）  
25,俞墨涵,（转身扶住他）小心——（两人同时僵住）  
26,张思朗,（迅速拉开距离）谢...谢谢。（耳尖通红）  
27,俞墨涵,（背着手倒退走）不用谢~（狡黠地笑）不过环保委员要请我喝奶茶哦？  
28,张思朗,（困惑）为什么...  
29,俞墨涵,（数手指）一是我推荐的职位，二是我救了你免于摔跤...  
30,张思朗,（无奈）明明是你突然跑起来...（看到她鼓起的脸颊）...好啦。  
31,俞墨涵,（欢呼）万岁！我要加双倍珍珠~（突然正经）对了，你LINE号是多少？  
32,张思朗,（摸出老式翻盖手机）我...  
33,俞墨涵,（瞪大眼睛）古董！（抢过来看）天啊还能开机？！  
34,张思朗,（试图拿回）是爷爷给的...  
35,俞墨涵,（快速输入号码）存好啦！（拨通自己手机）这下你也有我的号码了~  
36,张思朗,（看着通讯录里"宇宙第一可爱的墨涵"发呆）...  
37,俞墨涵,（凑近看屏幕）不满意这个备注？（假装生气）那改成"可怕的粉笔灰恶魔"？  
38,张思朗,（突然轻笑）...不用。（小心收起手机）挺好的。  
39,俞墨涵,（怔住）哇...你笑起来有虎牙诶！（伸手想戳）  
40,张思朗,（慌张躲开）该...该回去继续值日了！（同手同脚跑走）  
41,俞墨涵,（追在后面）别跑嘛！让我再看一眼虎牙——  
